sentence,token,predicted_POS,predicted_NER
"وهذه الازدواجية في الاستعمال أدت إلى خلط في فهم معنى اللفظ، ويقول الدكتور قاسم عبده أن هناك تفريق شائع «بين كلمة التاريخ كتعبير دال على مسيرة الإنسان الحضارية على سطح كوكب الأرض منذ الأزل، وعبارة تدوين التاريخ كتعبير عن العملية الفكرية الإنشائية التي تحاول بإعادة تسجيل وبناء وتفسير الإنسان على كوكبه».",قاسم,noun_prop,B-PERS
"وهذه الازدواجية في الاستعمال أدت إلى خلط في فهم معنى اللفظ، ويقول الدكتور قاسم عبده أن هناك تفريق شائع «بين كلمة التاريخ كتعبير دال على مسيرة الإنسان الحضارية على سطح كوكب الأرض منذ الأزل، وعبارة تدوين التاريخ كتعبير عن العملية الفكرية الإنشائية التي تحاول بإعادة تسجيل وبناء وتفسير الإنسان على كوكبه».",عبده,noun,I-PERS
"تستمر قراءة أعمالهم اليوم، وتبقى الفجوة بين هيرودوت التي تركز على الثقافة وثوسيديديس التي تركز على الجيش نقطة خلاف أو مقاربة في الكتابة التاريخية الحديثة.",هير,noun_prop,B-PERS
"وفي ذلك يقول هيربرت آدمز«: تطوّر من حاضنة للعقائد، إلى مختبر للحقائق العلمية»، ورغم ذلك استمر الجدل حول علمية التاريخ إلى عشرينيات القرن العشرين الميلادي، وظهر خلال النقاش الحاد بين كبار مؤرخي أوروبا الأكاديميين حول موضوع أصل الحروب، ودعمهم جميعًا لأجندات حكوماتهم بأساليب بعيدة عن الأساليب العلمية التي نادوا بها من قبل.",آدم,noun_prop,I-PERS
"وفي ذلك يقول هيربرت آدمز«: تطوّر من حاضنة للعقائد، إلى مختبر للحقائق العلمية»، ورغم ذلك استمر الجدل حول علمية التاريخ إلى عشرينيات القرن العشرين الميلادي، وظهر خلال النقاش الحاد بين كبار مؤرخي أوروبا الأكاديميين حول موضوع أصل الحروب، ودعمهم جميعًا لأجندات حكوماتهم بأساليب بعيدة عن الأساليب العلمية التي نادوا بها من قبل.",أوروبا,noun_prop,B-LOC
"سبب الجدل اللغوي:
لماذا لم ينتقل الجدل إلى اللغة العربية؟ ولماذا لا ينبغي لنا في عالمنا العربي الخوض في التفضيل بين لفظتي علم أو فن أصلاً؟
يشير إدوارد كار إلى منشأ الجدل اللغوي بقوله:«هذا السؤال الاصطلاحي هو بسبب شذوذ في اللغة الإنجليزية».",كار,noun_prop,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",أحمد,noun,B-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",مطر,noun,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",نجيب,adj,B-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",محفوظ,noun,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",وعبد,noun_prop,B-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",الرحمن,noun_prop,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",الجبل,noun,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",قطب,noun_prop,I-PERS
"أدباء سياسيين عرب
من أشهر نتاج الأدب السياسي العربي وأصحابه شعر الشاعر السياسي أحمد مطر الأول في العربية، نجيب محفوظ، وعبد الرحمن منيف، ونزار قباني، وبدوي الجبل، وحميدة قطب، وأمينة قطب، ومحمد الحسناوي، والحمامصي، وحسن عشماوي، والزبيري، وشريف الرأس، والماغوط، وونوس، وكان من أجمل ما كتبوه هو أدبهم السياسي.",ومحمد,noun,B-PERS
"السياق التاريخي
كُتبت هذه القصائد في الفترة الأخيرة من حياة نيرودا، في ظل أزمات سياسية عرفتها تشيلي، وانقلابات متوقعة كانت تهدد النظام الديمقراطي.",نير,noun,B-PERS
"وسرعان ما انتشر المصطلح الفرنسي خارج فرنسة، إذ استخدمه توماس رايمر Thomas Rymer في إنكلترة عام 1692، ويغدو هيو بلير Hugh Blair عام 1762 أول أستاذ للبلاغة والأدب بوصفه فنًا جميلًا Belles Lettres في جامعة أدنبره.",توماس,noun_prop,B-PERS
"وسرعان ما انتشر المصطلح الفرنسي خارج فرنسة، إذ استخدمه توماس رايمر Thomas Rymer في إنكلترة عام 1692، ويغدو هيو بلير Hugh Blair عام 1762 أول أستاذ للبلاغة والأدب بوصفه فنًا جميلًا Belles Lettres في جامعة أدنبره.",راي,noun,I-PERS
"محتوى الديوان
يحتوي الديوان على مجموعة من القصائد التي تعكس المرحلة السياسية لنيرودا، ويظهر فيها بوضوح انحيازه للطبقات الشعبية، ورفضه للديكتاتوريات والتدخل الأجنبي.",لن,noun,B-LOC
"وقد عززت هذا المفهوم المناقشات المتصلة بفكرة الذوق ودور المتذوق، واختراع بومغارتن Baumgarten لمصطلح علم الجمال aesthetics وجهوده مع «كنت» ولا سيما في كتابه الأخير «نقد الحكم»، في التمييز ما بين الجميل، والجيد، والحقيقي، والمفيد فضلًا عن النهوض البطيء لمكانة الرواية في المجتمع الأوربي، وقاد كل ذلك في نهاية المطاف إلى ظهور مفهوم للأدب مواز لمفهومي الفنون التشكيلية والموسيقى وغيرهما من الفنون الجميلة المعروفة، وغدا الأدب واحدًا منها يتبوأ بين أقرانه الستة مكانة بارزة.",بوم,noun_prop,B-PERS
بهذا المعنى الواسع يجدها الباحث لدى إخوان الصفا في القرن الرابع الهجري عندما استخدموها في رسائلهم للدلالة على علوم السحر والكيمياء والحساب والمعاملات والتجارة فضلًا عن علوم القرآن والبيان والتاريخ والأخبار.,الصفا,noun_prop,I-ORG
"الجائزة والتقدير
ليست قصيدة مفردة، لكن «أتحدّث عن المدينة» مُعنونة ضمن كتابات باث الأكثر تأثيرًا؛ وقد ساهم هذا النص، ضمن مجموعة أعماله، في تعزيز مكانته كواحد من أهم المنظرين للحياة الحضرية في الوطنين الأمريكي واللاتيني، ما أدى -جزئيًّا- إلى منحه جائزة نوبل في الأدب عام 1990 تقديرًا لإبداعه الذي ""يجمع بين الحس الشعري والفكر النقدي بوضوح شفاف"" .",با,noun,B-PERS
"الجائزة والتقدير
ليست قصيدة مفردة، لكن «أتحدّث عن المدينة» مُعنونة ضمن كتابات باث الأكثر تأثيرًا؛ وقد ساهم هذا النص، ضمن مجموعة أعماله، في تعزيز مكانته كواحد من أهم المنظرين للحياة الحضرية في الوطنين الأمريكي واللاتيني، ما أدى -جزئيًّا- إلى منحه جائزة نوبل في الأدب عام 1990 تقديرًا لإبداعه الذي ""يجمع بين الحس الشعري والفكر النقدي بوضوح شفاف"" .",نوبل,noun,B-MISC
"بوجه عام يمكن القول إن الكلمة كانت تطلق في القرنين الثاني والثالث الهجريين وما تلاهما من قرون على معرفة أشعار العرب وأخبارهم، وكان المؤلفون العرب يصنفون كتبًا ينعتونها بأنها كتب أدب مثل «البيان والتبيين» للجاحظ (ت255هـ)، و«عيون الأخبار» لابن قتيبة (ت276هـ)، و«الكامل في اللغة والأدب» للمبرِّد (ت285هـ)، و«العقد الفريد» لابن عبد ربه (ت328هـ)، و«زهر الآداب» للحصري (ت453هـ).",البيان,noun,B-MISC
"بوجه عام يمكن القول إن الكلمة كانت تطلق في القرنين الثاني والثالث الهجريين وما تلاهما من قرون على معرفة أشعار العرب وأخبارهم، وكان المؤلفون العرب يصنفون كتبًا ينعتونها بأنها كتب أدب مثل «البيان والتبيين» للجاحظ (ت255هـ)، و«عيون الأخبار» لابن قتيبة (ت276هـ)، و«الكامل في اللغة والأدب» للمبرِّد (ت285هـ)، و«العقد الفريد» لابن عبد ربه (ت328هـ)، و«زهر الآداب» للحصري (ت453هـ).",الكامل,noun_prop,B-MISC
"بوجه عام يمكن القول إن الكلمة كانت تطلق في القرنين الثاني والثالث الهجريين وما تلاهما من قرون على معرفة أشعار العرب وأخبارهم، وكان المؤلفون العرب يصنفون كتبًا ينعتونها بأنها كتب أدب مثل «البيان والتبيين» للجاحظ (ت255هـ)، و«عيون الأخبار» لابن قتيبة (ت276هـ)، و«الكامل في اللغة والأدب» للمبرِّد (ت285هـ)، و«العقد الفريد» لابن عبد ربه (ت328هـ)، و«زهر الآداب» للحصري (ت453هـ).",العقد,noun,B-MISC
"بوجه عام يمكن القول إن الكلمة كانت تطلق في القرنين الثاني والثالث الهجريين وما تلاهما من قرون على معرفة أشعار العرب وأخبارهم، وكان المؤلفون العرب يصنفون كتبًا ينعتونها بأنها كتب أدب مثل «البيان والتبيين» للجاحظ (ت255هـ)، و«عيون الأخبار» لابن قتيبة (ت276هـ)، و«الكامل في اللغة والأدب» للمبرِّد (ت285هـ)، و«العقد الفريد» لابن عبد ربه (ت328هـ)، و«زهر الآداب» للحصري (ت453هـ).",الفري,noun,I-MISC
